nominal mean Q^2,mean Q^2,mean Q^2 error,mean W,mean W error,-t (bin center),Rate (Hz), Rate (Hz) error

6.25,6.08187,0.0113967,10.2371,0.0669911,0.02,144.667,6.94422
,,,,,0.06,208.333,8.33333
,,,,,0.1,219.333,8.5505
,,,,,0.14,215.333,8.47218
,,,,,0.18,232.667,8.80656
,,,,,0.22,201,8.18535
,,,,,0.26,104,5.88784
,,,,,0.3,16.3333,2.33333
,,,,,0.34,0.333333,0.333333
,,,,,0.38,0.333333,0.333333

8.75,8.64569,0.0166753,9.90679,0.0871827,0.02,62,4.54606
,,,,,0.06,99,5.74456
,,,,,0.1,96.6667,5.67646
,,,,,0.14,105.667,5.93483
,,,,,0.18,107,5.97216
,,,,,0.22,96.6667,5.67646
,,,,,0.26,47.3333,3.97213
,,,,,0.3,5.33333,1.33333
,,,,,0.34,0.666667,0.471405
,,,,,0.38,0,0

12.5,12.3655,0.0150735,9.82204,0.0382785,0.02,168.667,7.49815
,,,,,0.06,394,11.4601
,,,,,0.1,466.667,12.4722
,,,,,0.14,466.667,12.4722
,,,,,0.18,487.667,12.7497
,,,,,0.22,435.667,12.0508
,,,,,0.26,209,8.34666
,,,,,0.3,23.6667,2.80872
,,,,,0.34,1,0.57735
,,,,,0.38,1,0.57735

17.5,17.2208,0.0226968,9.62277,0.0527926,0.02,37.6667,3.54338
,,,,,0.06,182,7.78888
,,,,,0.1,237,8.88819
,,,,,0.14,242.667,8.99383
,,,,,0.18,249.667,9.12262
,,,,,0.22,241.667,8.97527
,,,,,0.26,124,6.4291
,,,,,0.3,20.6667,2.62467
,,,,,0.34,3,1
,,,,,0.38,1.66667,0.745356

22.5,22.3762,0.020263,9.78591,0.048975,0.02,4,1.1547
,,,,,0.06,138,6.78233
,,,,,0.1,253,9.18332
,,,,,0.14,272,9.5219
,,,,,0.18,320.333,10.3333
,,,,,0.22,308.667,10.1434
,,,,,0.26,177,7.68115
,,,,,0.3,46,3.91578
,,,,,0.34,11.3333,1.94365
,,,,,0.38,3.66667,1.10554

27.5,27.3186,0.0273391,9.71098,0.0647562,0.02,0,0
,,,,,0.06,41.6667,3.72678
,,,,,0.1,121,6.35085
,,,,,0.14,171,7.54983
,,,,,0.18,184.333,7.83865
,,,,,0.22,190.667,7.97217
,,,,,0.26,143.667,6.92018
,,,,,0.3,57.3333,4.37163
,,,,,0.34,15.3333,2.26078
,,,,,0.38,7.33333,1.56347

32.5,32.1978,0.034326,9.74602,0.0832708,0.02,0,0
,,,,,0.06,4.66667,1.24722
,,,,,0.1,57.3333,4.37163
,,,,,0.14,87.6667,5.40576
,,,,,0.18,107,5.97216
,,,,,0.22,110,6.0553
,,,,,0.26,95,5.62731
,,,,,0.3,49.6667,4.06885
,,,,,0.34,14.6667,2.21108
,,,,,0.38,6.33333,1.45297

truth_neutron ( #theta* < 4.0 mRad ) = 44555,total_files = 3
