nominal mean Q^2,mean Q^2,mean Q^2 error,mean W,mean W error,-t (bin center),Rate (Hz), Rate (Hz) error

6.25,6.25257,0.0770985,0,0,0.02,2.33546,0.825711
,,,,,0.06,4.96455,1.20408
,,,,,0.1,2.04392,0.772528
,,,,,0.14,2.91923,0.923141
,,,,,0.18,2.92079,0.923636
,,,,,0.22,3.21197,0.968446
,,,,,0.26,2.91925,0.92315
,,,,,0.3,2.62724,0.875748
,,,,,0.34,2.04434,0.772689
,,,,,0.38,1.1682,0.584099

8.75,8.95439,0.0522382,0,0,0.02,4.67272,1.16818
,,,,,0.06,3.50418,1.01157
,,,,,0.1,5.83988,1.30584
,,,,,0.14,6.71099,1.39935
,,,,,0.18,5.84308,1.30655
,,,,,0.22,5.55249,1.27383
,,,,,0.26,4.67317,1.16829
,,,,,0.3,8.17496,1.54492
,,,,,0.34,4.38048,1.13104
,,,,,0.38,4.08798,1.09256

12.5,12.3176,0.0788617,0,0,0.02,7.01057,1.43103
,,,,,0.06,10.8034,1.77606
,,,,,0.1,10.5104,1.75173
,,,,,0.14,10.5123,1.75205
,,,,,0.18,11.0971,1.80019
,,,,,0.22,10.2242,1.7282
,,,,,0.26,11.6777,1.84641
,,,,,0.3,9.93429,1.70373
,,,,,0.34,7.59316,1.48914
,,,,,0.38,11.6951,1.8492

17.5,17.2453,0.108187,0,0,0.02,3.50547,1.01194
,,,,,0.06,4.96274,1.20364
,,,,,0.1,2.6287,0.876235
,,,,,0.14,4.08781,1.09251
,,,,,0.18,6.42197,1.36917
,,,,,0.22,5.54684,1.27253
,,,,,0.26,7.00967,1.43084
,,,,,0.3,6.42036,1.36883
,,,,,0.34,7.01103,1.43112
,,,,,0.38,5.83845,1.30552

22.5,22.275,0.115926,0,0,0.02,2.92045,0.92353
,,,,,0.06,1.75134,0.714981
,,,,,0.1,6.42429,1.36966
,,,,,0.14,3.50375,1.01145
,,,,,0.18,5.55092,1.27347
,,,,,0.22,5.54786,1.27277
,,,,,0.26,4.37895,1.13064
,,,,,0.3,6.13179,1.33807
,,,,,0.34,3.79618,1.05287
,,,,,0.38,5.83895,1.30563

27.5,27.4694,0.139738,0,0,0.02,3.21251,0.968609
,,,,,0.06,2.62645,0.875483
,,,,,0.1,2.33718,0.82632
,,,,,0.14,4.08704,1.09231
,,,,,0.18,4.38173,1.13136
,,,,,0.22,3.7972,1.05315
,,,,,0.26,3.21113,0.968194
,,,,,0.3,3.21677,0.969903
,,,,,0.34,4.37901,1.13066
,,,,,0.38,4.08777,1.0925

32.5,32.5163,0.157033,0,0,0.02,2.33544,0.825704
,,,,,0.06,1.45958,0.652743
,,,,,0.1,2.91895,0.923053
,,,,,0.14,2.33587,0.825857
,,,,,0.18,3.50304,1.01125
,,,,,0.22,3.21342,0.968883
,,,,,0.26,2.33613,0.825947
,,,,,0.3,2.3391,0.826997
,,,,,0.34,2.04609,0.773349
,,,,,0.38,1.4601,0.652975

truth_neutron ( #theta* < 4.0 mRad ) = 772835,nFiles = 11536
